QMUXTXRX.
Cur Time : 87.091000sec
drop count = 0, drop time = 0.000000sec, high water mark = 0

	TIME(sys)	STRING
12.824568	SHIMQMI 00 04 09 2b 00 0f 00 10 08 00 04 00 00 00 01 00
12.824605	SHIMQMI 02 04 09 2b 00 07 00 02 04 00 00 00 00 00
12.824805	SHIMQMI 00 04 09 2a 00 04 00 01 01 00 04
12.824825	SHIMQMI 02 04 09 2a 00 07 00 02 04 00 00 00 00 00
12.824993	SHIMQMI 00 04 09 2f 00 08 00 10 01 00 01 11 01 00 db
12.825017	SHIMQMI 02 04 09 2f 00 07 00 02 04 00 00 00 00 00
12.825184	SHIMQMI 00 04 09 2d 00 07 00 01 04 00 ff 00 00 00
12.825209	SHIMQMI 02 04 09 2d 00 07 00 02 04 00 00 00 00 00
12.825399	SHIMQMI 00 04 09 01 00 04 00 10 01 00 01
12.825422	SHIMQMI 02 04 09 01 00 07 00 02 04 00 00 00 00 00
12.825806	SHIMQMI 00 04 0a 2b 00 0f 00 10 08 00 04 00 00 00 01 00
12.825837	SHIMQMI 02 04 0a 2b 00 07 00 02 04 00 00 00 00 00
12.826024	SHIMQMI 00 04 0a 2a 00 04 00 01 01 00 06
12.826046	SHIMQMI 02 04 0a 2a 00 07 00 02 04 00 00 00 00 00
12.826239	SHIMQMI 00 04 0a 2f 00 08 00 10 01 00 01 11 01 00 db
12.826273	SHIMQMI 02 04 0a 2f 00 07 00 02 04 00 00 00 00 00
12.826476	SHIMQMI 00 04 0a 2d 00 07 00 01 04 00 ff 00 00 00
12.826498	SHIMQMI 02 04 0a 2d 00 07 00 02 04 00 00 00 00 00
12.826729	SHIMQMI 00 04 0a 01 00 04 00 10 01 00 01
12.826754	SHIMQMI 02 04 0a 01 00 07 00 02 04 00 00 00 00 00
12.827365	SHIMQMI 00 01 0c a2 00 0f 00 10 08 00 04 00 00 00 01 00
12.827869	SHIMQMI 02 01 0c a2 00 07 00 02 04 00 00 00 00 00
12.828419	SHIMQMI 00 01 0d a2 00 0f 00 10 08 00 04 00 00 00 01 00
12.828466	SHIMQMI 02 01 0d a2 00 07 00 02 04 00 00 00 00 00
12.828674	SHIMQMI 00 01 0c af 00 07 00 01 04 00 00 00 00 00
12.828721	SHIMQMI 02 01 0c af 00 07 00 02 04 00 00 00 00 00
12.828904	SHIMQMI 00 01 0c b0 00 00 00
12.828930	SHIMQMI 02 01 0c b0 00 0e 00 02 04 00 00 00 00 00 10 04
12.829093	SHIMQMI 00 01 0d af 00 07 00 01 04 00 00 00 00 00
12.829133	SHIMQMI 02 01 0d af 00 07 00 02 04 00 00 00 00 00
12.829314	SHIMQMI 00 01 0d b0 00 00 00
12.829340	SHIMQMI 02 01 0d b0 00 0e 00 02 04 00 00 00 00 00 10 04
12.830698	SHIMQMI 00 04 0b 2b 00 0f 00 10 08 00 04 00 00 00 01 00
