SSREQCTL.
Cur Time : 4211.545000sec
drop count = 0, drop time = 0.000000sec, high water mark = 0

	TIME(sys)	FILE	FUNCTION	LINE	STRING
11.256608	rcinit_init_root.c	rcinit_worker	103	function enter group 0 func_hash 783f5d7 func_name qmi_fw
11.256616	rcinit_init_root.c	rcinit_worker	128	function exit group 0 func_hash 783f5d7 func_name qmi_fw
11.256621	rcinit_init_root.c	rcinit_worker	103	function enter group 0 func_hash c46ac53 func_name remotefs
11.256622	rcinit_init_root.c	rcinit_worker	128	function exit group 0 func_hash c46ac53 func_name remotefs
11.256628	rcinit_init_root.c	rcinit_worker	103	function enter group 0 func_hash aef43e4 func_name system_db_init
11.256628	rcinit_init_root.c	rcinit_worker	128	function exit group 0 func_hash aef43e4 func_name system_db_init
11.256634	rcinit_init_root.c	rcinit_worker	103	function enter group 0 func_hash 3cd32b func_name utimetick
11.256655	rcinit_init_root.c	rcinit_worker	128	function exit group 0 func_hash 3cd32b func_name utimetick
11.256661	rcinit_init_root.c	rcinit_worker	103	function enter group 0 func_hash 902703e func_name perf_shutdown
11.256709	rcinit_init_root.c	rcinit_worker	128	function exit group 0 func_hash 902703e func_name perf_shutdown
11.256715	rcinit_init_root.c	rcinit_worker	103	function enter group 0 func_hash 603ec4 func_name nvruim_init
11.257307	rcinit_init_root.c	rcinit_worker	128	function exit group 0 func_hash 603ec4 func_name nvruim_init
11.257313	rcinit_init_root.c	rcinit_worker	103	function enter group 0 func_hash 8d971a3 func_name spmiclkstatus
11.257314	rcinit_init_root.c	rcinit_worker	128	function exit group 0 func_hash 8d971a3 func_name spmiclkstatus
11.257320	rcinit_init_root.c	rcinit_worker	103	function enter group 0 func_hash 813e034 func_name prng_mutex_init
11.257320	rcinit_init_root.c	rcinit_worker	128	function exit group 0 func_hash 813e034 func_name prng_mutex_init
11.257325	rcinit_init_root.c	rcinit_worker	103	function enter group 0 func_hash 7ccf1a4 func_name rf_group_0_init
11.257326	rcinit_init_root.c	rcinit_worker	128	function exit group 0 func_hash 7ccf1a4 func_name rf_group_0_init
11.257332	rcinit_init_root.c	rcinit_worker	103	function enter group 0 func_hash 34cefa4 func_name pd_dump_root
11.257334	rcinit_init_root.c	rcinit_worker	128	function exit group 0 func_hash 34cefa4 func_name pd_dump_root
11.257340	rcinit_init_root.c	rcinit_worker	103	function enter group 0 func_hash 6503424 func_name pd_mon_root
11.257376	rcinit_init_root.c	rcinit_worker	128	function exit group 0 func_hash 6503424 func_name pd_mon_root
11.257381	rcinit_init_root.c	rcinit_worker	103	function enter group 0 func_hash 7d5b7b3 func_name softwareswitches
11.257400	rcinit_init_root.c	rcinit_worker	128	function exit group 0 func_hash 7d5b7b3 func_name softwareswitches
11.257406	rcinit_init_root.c	rcinit_worker	103	function enter group 0 func_hash e2eba54 func_name dog_hb_init
11.257420	rcinit_init_root.c	rcinit_worker	128	function exit group 0 func_hash e2eba54 func_name dog_hb_init
11.257425	rcinit_init_root.c	rcinit_worker	103	function enter group 0 func_hash 510492 func_name glink_ssr
11.257430	rcinit_init_root.c	rcinit_worker	128	function exit group 0 func_hash 510492 func_name glink_ssr
11.257436	rcinit_init_root.c	rcinit_worker	103	function enter group 0 func_hash a59f334 func_name ss_nv_util_init
11.257448	rcinit_init_root.c	rcinit_worker	128	function exit group 0 func_hash a59f334 func_name ss_nv_util_init
11.257454	rcinit_init_root.c	rcinit_worker	103	function enter group 0 func_hash 6325594 func_name sys_m_init
11.257455	rcinit_init_root.c	rcinit_worker	128	function exit group 0 func_hash 6325594 func_name sys_m_init
11.257461	rcinit_init_root.c	rcinit_worker	103	function enter group 0 func_hash 7dea95d func_name uimage_rpm
11.257473	rcinit_init_root.c	rcinit_worker	128	function exit group 0 func_hash 7dea95d func_name uimage_rpm
11.257479	rcinit_init_root.c	rcinit_worker	103	function enter group 0 func_hash db1cfe3 func_name image_vers
11.257489	rcinit_init_root.c	rcinit_worker	128	function exit group 0 func_hash db1cfe3 func_name image_vers
11.257494	rcinit_init_root.c	rcinit_worker	103	function enter group 0 func_hash db1c884 func_name image_uuid
11.257497	rcinit_init_root.c	rcinit_worker	128	function exit group 0 func_hash db1c884 func_name image_uuid
11.257503	rcinit_init_root.c	rcinit_worker	103	function enter group 0 func_hash 8835bf6 func_name bam_drv
11.257527	rcinit_init_root.c	rcinit_worker	128	function exit group 0 func_hash 8835bf6 func_name bam_drv
11.257532	rcinit_init_root.c	rcinit_worker	103	function enter group 0 func_hash d813304 func_name prng_qdi_init
11.257534	rcinit_init_root.c	rcinit_worker	128	function exit group 0 func_hash d813304 func_name prng_qdi_init
11.257540	rcinit_init_root.c	rcinit_worker	103	function enter group 0 func_hash 246c827 func_name ftm_pmic_diag
11.257541	rcinit_init_root.c	rcinit_worker	128	function exit group 0 func_hash 246c827 func_name ftm_pmic_diag
11.257547	rcinit_init_root.c	rcinit_worker	103	function enter group 0 func_hash ab9e8f2 func_name techarb
11.257626	rcinit_init_root.c	rcinit_worker	128	function exit group 0 func_hash ab9e8f2 func_name techarb
11.257632	rcinit_init_root.c	rcinit_worker	103	function enter group 0 func_hash 6d9663 func_name fs_os
11.257637	rcinit_init_root.c	rcinit_worker	128	function exit group 0 func_hash 6d9663 func_name fs_os
11.257642	rcinit_init_root.c	rcinit_worker	103	function enter group 0 func_hash 9c9d8c7 func_name servreg
11.257787	rcinit_init_root.c	rcinit_worker	128	function exit group 0 func_hash 9c9d8c7 func_name servreg
11.257793	rcinit_init_root.c	rcinit_worker	103	function enter group 0 func_hash dd3bf92 func_name aostlm_driver
11.257795	rcinit_init_root.c	rcinit_worker	128	function exit group 0 func_hash dd3bf92 func_name aostlm_driver
11.257801	rcinit_init_root.c	rcinit_worker	103	function enter group 0 func_hash 98f0c22 func_name smem_qdi_driver
11.257803	rcinit_init_root.c	rcinit_worker	128	function exit group 0 func_hash 98f0c22 func_name smem_qdi_driver
11.257808	rcinit_init_root.c	rcinit_worker	103	function enter group 0 func_hash 5107cf func_name glink_sio
11.257962	rcinit_rex.c	TASK_ENTRY	180	task begins group 0 task_hash d53b8eb task_name glink_sio_task
11.257984	rcinit_init_root.c	rcinit_worker	128	function exit group 0 func_hash 5107cf func_name glink_sio
11.257990	rcinit_init_root.c	rcinit_worker	103	function enter group 0 func_hash 7d46d func_name vmpm
11.258386	rcinit_init_root.c	rcinit_worker	128	function exit group 0 func_hash 7d46d func_name vmpm
11.258392	rcinit_init_root.c	rcinit_worker	103	function enter group 0 func_hash 77ba3 func_name qdss
11.258619	rcinit_init_root.c	rcinit_worker	128	function exit group 0 func_hash 77ba3 func_name qdss
11.258624	rcinit_init_root.c	rcinit_worker	103	function enter group 0 func_hash d19db35 func_name tracer_simple
11.258659	rcinit_init_root.c	rcinit_worker	128	function exit group 0 func_hash d19db35 func_name tracer_simple
11.258736	rcinit_rex.c	TASK_ENTRY	180	task begins group 0 task_hash 9631d39 task_name sys_m_qmi
11.258777	rcinit_init_root.c	rcinit_handshake_init	254	handshake group 0 task_hash 631340d task_name sys_m_smsm
11.258785	rcinit_init_root.c	rcinit_handshake_init	254	handshake group 0 task_hash 9631d39 task_name sys_m_qmi
11.258824	rcinit_init_root.c	rcinit_handshake_init	254	handshake group 0 task_hash 6b5d5e2 task_name dog_hb
11.258927	rcinit_rex.c	TASK_ENTRY	180	task begins group 0 task_hash 756 task_name nv
11.258943	rcinit_init_root.c	rcinit_handshake_init	254	handshake group 0 task_hash 756 task_name nv
11.258981	rcinit_rex.c	TASK_ENTRY	180	task begins group 0 task_hash 3b67d3 task_name time_ipc
11.259003	rcinit_init_root.c	rcinit_handshake_init	254	handshake group 0 task_hash 3b67d3 task_name time_ipc
11.259074	rcinit_rex.c	TASK_ENTRY	180	task begins group 0 task_hash 5c1639c task_name ss_nv_util
11.259082	rcinit_init_root.c	rcinit_handshake_init	254	handshake group 0 task_hash 5c1639c task_name ss_nv_util
11.259129	rcinit_rex.c	TASK_ENTRY	180	task begins group 0 task_hash 61a252c task_name ssreq_svc_poll
11.259136	rcinit_init_root.c	rcinit_handshake_init	254	handshake group 0 task_hash 61a252c task_name ssreq_svc_poll
11.259185	rcinit_rex.c	TASK_ENTRY	180	task begins group 0 task_hash 79295c task_name rlc_l
11.259192	rcinit_init_root.c	rcinit_handshake_init	254	handshake group 0 task_hash 79295c task_name rlc_l
11.259237	rcinit_rex.c	TASK_ENTRY	180	task begins group 0 task_hash 792953 task_name rlc_c
11.259244	rcinit_init_root.c	rcinit_handshake_init	254	handshake group 0 task_hash 792953 task_name rlc_c
11.259290	rcinit_rex.c	TASK_ENTRY	180	task begins group 0 task_hash 792962 task_name rlc_r
11.259297	rcinit_init_root.c	rcinit_handshake_init	254	handshake group 0 task_hash 792962 task_name rlc_r
11.259341	rcinit_rex.c	TASK_ENTRY	180	task begins group 0 task_hash 35d584 task_name memshare_qmiclient
11.259348	rcinit_init_root.c	rcinit_handshake_init	254	handshake group 0 task_hash 35d584 task_name memshare_qmiclient
11.259431	rcinit_init_root.c	rcinit_handshake_init	254	handshake group 0 task_hash 8001702 task_name sleepsolver
11.259456	rcinit_rex.c	TASK_ENTRY	180	task begins group 0 task_hash 6eb7a12 task_name ss_diag_manager
11.259463	rcinit_init_root.c	rcinit_handshake_init	254	handshake group 0 task_hash 6eb7a12 task_name ss_diag_manager
11.259554	rcinit_rex.c	TASK_ENTRY	180	task begins group 0 task_hash 6d3 task_name fs
11.259597	rcinit_init_root.c	rcinit_handshake_init	254	handshake group 0 task_hash 6d3 task_name fs
11.259613	rcinit_init_root.c	rcinit_handshake_init	254	handshake group 0 task_hash c2de491 task_name sr_remote_req
11.259874	rcinit_rex.c	TASK_ENTRY	180	task begins group 0 task_hash 784963 task_name qmrpc
11.259881	rcinit_init_root.c	rcinit_handshake_init	254	handshake group 0 task_hash 784963 task_name qmrpc
11.259926	rcinit_rex.c	TASK_ENTRY	180	task begins group 0 task_hash 7a9d task_name ssm
11.259933	rcinit_init_root.c	rcinit_handshake_init	254	handshake group 0 task_hash 7a9d task_name ssm
11.259962	rcinit_init_root.c	rcinit_handshake_init	254	handshake group 0 task_hash c610e14 task_name sleep_test
11.260021	rcinit_init_root.c	rcinit_worker	103	function enter group 1 func_hash 3c425f3 func_name ss_members
11.260022	rcinit_init_root.c	rcinit_worker	128	function exit group 1 func_hash 3c425f3 func_name ss_members
11.260028	rcinit_init_root.c	rcinit_worker	103	function enter group 1 func_hash 686ab2d func_name aostlm
