MCFG.
Cur Time : 4211.111000sec
drop count = 0, drop time = 0.000000sec, high water mark = 0

	TIME(sys)	FILE	LINE	STRING
11.648430	mcfg_map.c	926	mcfg_print: type 1 sub 0 active len 20 id:C0~1A
11.648615	mcfg_utils.c	917	Config: ROW
11.648616	mcfg_utils.c	921	Config ROW
11.648618	mcfg_map.c	936	mcfg_print: type 1 sub 0 pendng len 20 id:C0~1A
11.648789	mcfg_utils.c	917	Config: ROW
11.648789	mcfg_utils.c	921	Config ROW
11.648791	mcfg_map.c	942	mcfg_print: loaded config list
11.648970	mcfg_utils.c	917	Config: ROW
11.648970	mcfg_utils.c	921	Config ROW
11.649152	mcfg_utils.c	917	Config: WRD
11.649152	mcfg_utils.c	921	Config WRD
11.649325	mcfg_utils.c	917	Config: VZW
11.649326	mcfg_utils.c	921	Config VZW
11.649506	mcfg_utils.c	917	Config: USC
11.649506	mcfg_utils.c	921	Config USC
11.649675	mcfg_utils.c	917	Config: SPR
11.649675	mcfg_utils.c	921	Config SPR
11.649847	mcfg_utils.c	917	Config: ATT
11.649847	mcfg_utils.c	921	Config ATT
11.650032	mcfg_utils.c	917	Config: FirstNet
11.650032	mcfg_utils.c	921	Config Fir
11.650225	mcfg_utils.c	2613	[DEBUG] MBN[1] : ROW
11.650227	mcfg_utils.c	2619	[DEBUG] Matched index 0 - ROW
11.650229	mcfg_task.c	337	[tndn] Active MBN based on SaleCode(where, uim_nv_autoselect off), MBN : 0
11.650230	mcfg_utils.c	2578	[DEBUG] mcfg_utils_mcfg_list [2 0]
11.650233	mcfg_utils.c	2642	[DEBUG] Already using correct config
11.650328	mcfg_proc.c	573	====  Starting modem_cfg_process ==== 
11.650330	mcfg_proc.c	342	====  Starting modem_cfg_process_single 0 ==== 
11.650331	mcfg_proc.c	343	refresh_type 2 
11.650408	mcfg_default.c	560	==== mcfg_default_config_process for type 0 ==== 
11.650411	mcfg_nv.c	559	mcfg_nv_build_path status 0
11.650445	mcfg_nv.c	601	mcfg_nv_read status 5
11.650446	mcfg_default.c	113	default enabled nv for 0 is not available
11.650449	mcfg_nv.c	559	mcfg_nv_build_path status 0
11.650472	mcfg_nv.c	601	mcfg_nv_read status 5
11.650472	mcfg_default.c	113	default enabled nv for 0 is not available
11.650520	mcfg_utils.c	2136	mcfg_utils_get_default_config: type 0 size 808
11.650522	mcfg_utils.c	2530	mcfg_format_ver_num is : 0x4 
11.650522	mcfg_utils.c	2535	====  isMbnWithDigest returned true ==== 
11.650524	mcfg_default.c	587	default_config_digest_available  = 1
11.650526	mcfg_nv.c	559	mcfg_nv_build_path status 0
11.650554	mcfg_nv.c	601	mcfg_nv_read status 5
11.650556	mcfg_default.c	113	default enabled nv for 0 is not available
