Start : 2843207, 86.767812sec

Sleep Statics
===== Client : 0 - MPSS =====
Time Sleep : 1261095912
Time Awake : 95458592
Sleep : 92.963158% Awake : 7.036842%
Log available 16 ~ 86sec
Client : 0, Discarded : 0
Client : 0, Discarded Time : 0

Time sclk	Time sec	Status	Duration
===== Client : 0 - MPSS =====
00000407229148	00021.209851	S	0.004239
00000407310536	00021.214090	W	0.000340
00000407317072	00021.214431	S	0.000295
00000407322732	00021.214726	W	0.014032
00000407592144	00021.228758	S	0.052936
00000408608516	00021.281694	W	0.005346
00000408711164	00021.287040	S	0.000288
00000408716700	00021.287328	W	0.188927
00000412344108	00021.476256	S	0.152245
00000415267216	00021.628501	W	0.005894
00000415380388	00021.634395	S	0.035535
00000416062656	00021.669930	W	0.008542
00000416226664	00021.678472	S	0.000313
00000416232680	00021.678785	W	0.000060
00000416233828	00021.678845	S	0.000440
00000416242284	00021.679286	W	0.000496
00000416251812	00021.679782	S	0.000206
00000416255776	00021.679988	W	0.000012
00000416256008	00021.680000	S	0.000281
00000416261396	00021.680281	W	0.000011
00000416261608	00021.680292	S	0.001064
00000416282028	00021.681356	W	0.000082
00000416283604	00021.681438	S	0.000476
00000416292752	00021.681914	W	0.000012
00000416292976	00021.681926	S	0.004990
00000416388776	00021.686915	W	0.000409
00000416396632	00021.687325	S	0.000344
00000416403228	00021.687668	W	0.000012
00000416403452	00021.687680	S	0.001002
00000416422696	00021.688682	W	0.000170
00000416425956	00021.688852	S	0.000511
00000416435764	00021.689363	W	0.000320
00000416441916	00021.689683	S	0.000338
00000416448412	00021.690021	W	0.000013
00000416448652	00021.690034	S	0.000887
00000416465684	00021.690921	W	0.005699
00000416575096	00021.696620	S	0.000036
00000416575780	00021.696655	W	0.000037
00000416576500	00021.696693	S	0.001925
00000416613464	00021.698618	W	0.000354
00000416620256	00021.698972	S	0.000376
00000416627480	00021.699348	W	0.000171
00000416630764	00021.699519	S	0.003908
00000416705788	00021.703426	W	0.000067
00000416707068	00021.703493	S	0.000337
00000416713532	00021.703830	W	0.000011
00000416713752	00021.703841	S	0.000460
00000416722584	00021.704301	W	0.005720
00000416832408	00021.710021	S	0.000794
00000416847652	00021.710815	W	0.000339
00000416854156	00021.711154	S	0.000315
00000416860196	00021.711469	W	0.000013
00000416860452	00021.711482	S	0.000246
00000416865184	00021.711728	W	0.000164
00000416868336	00021.711893	S	0.007228
00000417007112	00021.719120	W	0.000065
00000417008352	00021.719185	S	0.000610
00000417020072	00021.719795	W	0.000011
00000417020280	00021.719806	S	0.004239
00000417101668	00021.724045	W	0.005744
00000417211960	00021.729790	S	0.000037
00000417212668	00021.729826	W	0.000078
00000417214160	00021.729904	S	0.007562
00000417359352	00021.737466	W	0.000345
00000417365980	00021.737811	S	0.000197
00000417369756	00021.738008	W	0.000011
00000417369976	00021.738020	S	0.000171
00000417373252	00021.738190	W	0.000167
00000417376460	00021.738357	S	0.024637
00000417849488	00021.762994	W	0.000335
00000417855916	00021.763329	S	0.000430
00000417864164	00021.763759	W	0.000012
00000417864388	00021.763770	S	0.000344
00000417870992	00021.764114	W	0.000024
00000417871448	00021.764138	S	0.000462
00000417880324	00021.764600	W	0.000167
00000417883528	00021.764767	S	0.003054
00000417942168	00021.767821	W	0.000071
00000417943536	00021.767892	S	0.000413
00000417951472	00021.768306	W	0.000012
00000417951704	00021.768318	S	0.006114
00000418069096	00021.774432	W	0.007908
00000418220924	00021.782340	S	0.000037
00000418221640	00021.782377	W	0.000038
00000418222372	00021.782415	S	0.002088
00000418262468	00021.784504	W	0.000092
00000418264232	00021.784595	S	0.000436
00000418272612	00021.785032	W	0.000011
00000418272832	00021.785043	S	0.004732
00000418363696	00021.789776	W	0.016011
00000418671104	00021.805787	S	0.000092
00000418672876	00021.805879	W	0.000037
00000418673584	00021.805916	S	0.001911
00000418710284	00021.807827	W	0.000072
00000418711660	00021.807899	S	0.000215
00000418715796	00021.808114	W	0.000013
00000418716052	00021.808128	S	0.000405
00000418723832	00021.808533	W	0.000094
00000418725632	00021.808627	S	0.001061
00000418746004	00021.809688	W	0.000011
00000418746208	00021.809698	S	0.004024
00000418823464	00021.813722	W	0.000064
00000418824688	00021.813786	S	0.000287
00000418830200	00021.814073	W	0.000013
00000418830448	00021.814086	S	0.001880
00000418866536	00021.815965	W	0.000103
00000418868508	00021.816068	S	0.000195
00000418872260	00021.816264	W	0.000013
00000418872512	00021.816277	S	0.000332
00000418878892	00021.816609	W	0.000020
00000418879276	00021.816629	S	0.002209
00000418921696	00021.818838	W	0.011323
00000419139092	00021.830161	S	0.000659
00000419151752	00021.830820	W	0.000049
00000419152696	00021.830870	S	0.000345
00000419159328	00021.831215	W	0.000090
00000419161056	00021.831305	S	0.001218
00000419184432	00021.832522	W	0.000050
00000419185400	00021.832573	S	0.004352
00000419268968	00021.836925	W	0.000012
00000419269192	00021.836937	S	0.009522
00000419452016	00021.846459	W	0.000069
